,rÂ²,MAE,MSE,MBD,Scenario
USHighPlain,0.8747,0.0719,0.0062,0.07185723307053392,2
USHighPlain,0.996,0.0139,0.0002,-0.013873391707371887,3
USHighPlain,-0.003,0.2205,0.0498,0.22054174423897507,4
USHighPlain,0.6027,0.1384,0.0197,-0.1384252373451972,5
USHighPlain,0.9999,0.0007,0.0,0.0006640776763834103,6
USHighPlain,1.0,0.0005,0.0,0.000516475523396596,7
Greece,0.2429,0.1394,0.0247,0.1394102132737236,2
Greece,0.9338,0.0453,0.0022,-0.045308606028656724,3
Greece,0.858,0.0663,0.0046,0.06632999806031886,4
Greece,1.0,0.0,0.0,-2.5372035911507977e-05,5
Greece,1.0,0.0,0.0,3.7222139547563917e-06,6
Greece,0.9997,0.0025,0.0,0.0012630935910697442,7
Sudan,-0.004,0.1738,0.0329,0.17377467306393954,2
Sudan,0.8763,0.0602,0.0041,-0.06019707733770868,3
Sudan,0.9765,0.0182,0.0008,0.018208741319552732,4
Sudan,0.5903,0.1085,0.0134,0.10853852852736592,5
Sudan,1.0,0.0,0.0,-5.39089256988193e-06,6
Sudan,0.9993,0.004,0.0,0.003991858852139581,7
Indus,0.3251,0.2156,0.0495,-0.21559503874274277,2
Indus,0.9846,0.0327,0.0011,0.03269878386940342,3
Indus,0.9249,0.0722,0.0055,0.07221383791119534,4
Indus,0.9966,0.0152,0.0002,0.01517895080278876,5
Indus,1.0,0.0002,0.0,0.00016370726788622478,6
Indus,0.9999,0.0027,0.0,-0.0011946489773321442,7
Ganges,-0.3551,0.2676,0.0783,-0.267626227139414,2
Ganges,0.9844,0.0289,0.0009,-0.028863653701416234,3
Ganges,0.8847,0.0753,0.0067,0.07532235689065192,4
Ganges,0.8659,0.0833,0.0077,0.08330383060739134,5
Ganges,1.0,0.0001,0.0,-5.6552537552098723e-05,6
Ganges,0.9997,0.0036,0.0,0.003347193526536459,7
Turkey,-1.0848,0.2543,0.0814,-0.2543156652914342,2
Turkey,0.9008,0.0615,0.0039,0.0614786181866113,3
Turkey,0.6294,0.1183,0.0145,0.11825004188707307,4
Turkey,0.9579,0.0394,0.0016,-0.03937257425167874,5
Turkey,0.9999,0.0005,0.0,0.0004720170615148192,6
Turkey,0.9998,0.0022,0.0,0.0010757822311013056,7
Italy,0.4019,0.1204,0.0186,-0.1203544945329658,2
Italy,0.9644,0.0325,0.0011,-0.0325280907445755,3
Italy,0.6903,0.0966,0.0096,0.09657116298390256,4
Italy,0.9922,0.015,0.0002,-0.014966878697854041,5
Italy,1.0,0.0,0.0,1.9981130499155736e-05,6
Italy,0.9999,0.0015,0.0,-0.0009541713635820082,7
California,-1.2655,0.2908,0.1003,-0.2908047817240834,2
California,0.9689,0.0368,0.0014,0.03677727156051857,3
California,0.9512,0.0446,0.0022,0.04464477261338098,4
California,0.951,0.0451,0.0022,0.045077262126374536,5
California,1.0,0.0001,0.0,6.38886163171204e-05,6
California,0.9996,0.0034,0.0,-0.003281942365923449,7
Mexico,-0.2901,0.2253,0.0552,-0.22526500584256426,2
Mexico,0.9971,0.011,0.0001,-0.010990830158242216,3
Mexico,0.4284,0.1528,0.0244,0.152819421289393,4
Mexico,0.788,0.0938,0.0091,-0.09378337261355636,5
Mexico,0.9994,0.0014,0.0,-0.0014341123840102483,6
Mexico,1.0,0.0003,0.0,6.396388225243021e-05,7
Chile,0.4969,0.1316,0.0187,0.13155363893005598,2
Chile,0.9444,0.0449,0.0021,0.044929672027914175,3
Chile,0.8408,0.0749,0.0059,0.07487947524870012,4
Chile,0.1232,0.1747,0.0326,-0.17472788606639864,5
Chile,1.0,0.0,0.0,1.9536192693634297e-05,6
Chile,0.997,0.0093,0.0001,-0.009221715311490502,7
Iran,-2.8657,0.4112,0.2189,-0.41120661210560716,2
Iran,0.9999,0.0022,0.0,0.0021988045816085725,3
Iran,0.9943,0.017,0.0003,0.016979707664483167,4
Iran,0.982,0.0301,0.001,-0.03013446106411644,5
Iran,1.0,0.0001,0.0,7.108272128516313e-05,6
Iran,0.9999,0.0017,0.0,-0.0016394049718553717,7
Vietnam,0.9956,0.0088,0.0001,0.008842989519729878,2
Vietnam,0.9698,0.0236,0.0006,-0.023625374242000313,3
Vietnam,0.5412,0.0914,0.0092,0.09136793277489884,4
Vietnam,0.0825,0.1292,0.0184,0.1291899990154194,5
Vietnam,1.0,0.0001,0.0,-0.0001270809520101837,6
Vietnam,1.0,0.0007,0.0,0.00010294954991381694,7
Thailand,-3.3918,0.4504,0.2574,-0.4503830663914265,2
Thailand,0.9983,0.0097,0.0001,0.00969180929852727,3
Thailand,0.8652,0.0865,0.0079,0.08650778739706737,4
Thailand,0.9018,0.0736,0.0058,0.07364588704173225,5
Thailand,1.0,0.0001,0.0,-7.731587265936335e-05,6
Thailand,1.0,0.0003,0.0,0.00020198764594061877,7
Australia,-1.5539,0.292,0.1019,-0.2920042431220474,2
Australia,0.9635,0.0375,0.0015,-0.03753445629617623,3
Australia,-0.3838,0.2301,0.0552,0.2300742333211678,4
Australia,0.7477,0.0976,0.0101,-0.09763191733951924,5
Australia,0.9977,0.0044,0.0001,0.0043765084260536605,6
Australia,0.9891,0.0196,0.0004,0.019646409491988922,7
ArabianPeninsula,0.8501,0.1024,0.0108,-0.10237242931727208,2
ArabianPeninsula,1.0,0.0008,0.0,0.0008025549124138347,3
ArabianPeninsula,0.9999,0.0015,0.0,0.001548658505979578,4
ArabianPeninsula,0.9948,0.0171,0.0004,-0.017113161446878616,5
ArabianPeninsula,1.0,0.0,0.0,1.4370458100885816e-06,6
ArabianPeninsula,1.0,0.0008,0.0,-0.0008062965965773245,7
China,-1.6942,0.3839,0.1846,-0.3838772754659568,2
China,0.9975,0.0129,0.0002,0.012889205574844857,3
China,0.8727,0.0905,0.0087,0.09045841760073227,4
China,0.9993,0.0067,0.0,-0.006663519572093911,5
China,1.0,0.0001,0.0,6.088590435758985e-05,6
China,1.0,0.0,0.0,7.265014925839898e-06,7
Peru,0.4996,0.1229,0.0163,0.12288326889429319,2
Peru,0.9168,0.046,0.0027,-0.046038200393054333,3
Peru,0.9425,0.0393,0.0019,0.03926303100047932,4
Peru,0.9824,0.0228,0.0006,0.022825695777151905,5
Peru,1.0,0.0,0.0,1.1135141536393233e-05,6
Peru,0.9991,0.0047,0.0,-0.004233925018739143,7
Nile,-0.1117,0.1576,0.0274,-0.15762510774241006,2
Nile,0.9678,0.0275,0.0008,-0.027479453193755537,3
Nile,0.9984,0.0057,0.0,-0.005662639003334207,4
Nile,0.9566,0.0322,0.0011,0.0321816126739387,5
Nile,1.0,0.0001,0.0,-0.00011853122291550209,6
Nile,0.9682,0.0222,0.0008,0.02217243651639514,7
Java,-0.0338,0.231,0.0618,0.23102116361398706,2
Java,0.9764,0.0343,0.0014,0.03427189547214619,3
Java,0.988,0.0229,0.0007,0.02286865942000366,4
Java,0.9829,0.0304,0.001,0.03035192027639759,5
Java,1.0,0.0,0.0,1.8835800796771618e-05,6
Java,1.0,0.0014,0.0,-0.0005729313133426128,7
Japan,-3.3443,0.2084,0.0514,-0.20838495861262188,2
Japan,0.6031,0.0682,0.0047,0.06820534340918004,3
Japan,0.3771,0.0851,0.0074,0.0851029249875018,4
Japan,0.9958,0.0068,0.0,0.006836657779060366,5
Japan,0.9997,0.0006,0.0,-0.0005876789609782191,6
Japan,0.9964,0.0053,0.0,0.0041534678630552315,7
Spain,0.8719,0.0684,0.0055,-0.0684186262624952,2
Spain,0.9998,0.0025,0.0,-0.0025289508107336884,3
Spain,0.9855,0.0239,0.0006,0.023861392961987568,4
Spain,0.9998,0.0031,0.0,0.0030542983945593223,5
Spain,1.0,0.0,0.0,1.0589988329718751e-05,6
Spain,0.9978,0.0083,0.0001,-0.0057741199108088635,7
